QUESTION,ANSWER,more_info
"What is the Indian Aviation Academy (IAA), and what is its history?","The Indian Aviation Academy (IAA) is the joint training academy of the Airports Authority of India (AAI), the Directorate General of Civil Aviation (DGCA), and the Bureau of Civil Aviation Security (BCAS). Established in 1986 as the Institute of Airport Management at Patterson Farm House near Indira Gandhi International Airport, it moved to its current campus in 1988. The new building was inaugurated by the Secretary General of ICAO in December 1988. In 1997, it was renamed the National Institute of Aviation Management and Research (NIAMAR). Later, in 2010, NIAMAR was rebranded as the Indian Aviation Academy (IAA).",https://www.iaa.edu.in/mou.pdf
What are the training programs offered at the Indian Aviation Academy (IAA)?,"The training programs at IAA include Airport Operations, Airport Engineering (Civil, Electrical, Electronics), Information Technology, Project Management, Airport Finance, Commercial Aspects of Airport Management, Human Resource Management, International Aviation Law, Cargo Management, Dangerous Goods Regulations, Aviation Safety and Regulation, Environmental Concerns, and AVSEC Training.",
What are the ICAO-India Fellowship Programs offered at the Indian Aviation Academy (IAA)?,"The ICAO-India Fellowship Programs at IAA, designed for developing countries, cover the following areas: Airport Certification (issues and challenges), Safety Management System, Airport Security Management, Airport Commercial Management, Airport Operations Management, and Airport Cargo Management.",
Who are the key faculty members and representatives associated with the Indian Aviation Academy (IAA)?,"Shri Sanjeev Kumar, Dr. Srinivas Hanumankar, Shri Pankaj Malhotra, Shri S. Vasudevan, Dr. Anjali Kaushik, Capt. R. S. Sandhu, Shri Ranjit Narayan, Shri B. S. Rai, Shri J. K. Goel, Shri Ashwani Verma, Shri Ankit Garg, Hareendranathan E. P.",
How can candidates access the training calendar and enroll in programs at the Indian Aviation Academy (IAA)?,"The training calendar at IAA provides details of upcoming programs open for enrollment. Candidates can nominate themselves through the IAA website or use the Namankan app, available on Google Play Store and Apple App Store, which serves as a single-window solution for nomination, training management, and notifications. Training calendars include the AAI Calendar, BCAS Calendar, and DGCA Calendar.",https://www.iaa.edu.in/course-calender
What are some notable events hosted by the Indian Aviation Academy (IAA)?,"Notable events hosted by IAA include the signing of an MoU between IAA and IGRUA (January 11, 2021), a webinar on the pre-launch of the Certificate Program on Airport Strategic Operations and Management (October 9, 2020), the signing of an MoU with Management Development Institute, Gurgaon (August 6, 2020), the ICAO Workshop on ACDM-ATFM Integration (December 2–4, 2019), the ACI HR Committee Meeting (November 14, 2019), and the DGCA Workshop on Drone RPAS (November 7–8, 2019).",https://www.iaa.edu.in/event
What are some of the recent news highlights at Indian Aviation Academy (IAA)?,"Indian Aviation Academy bags Best Aviation Skills & Training Award at WINGS INDIA AWARDS (March 13-27, 2020). Executive Director IAA in ICAO TRIP Symposium at Montreal (August 1 - October 31, 2019).Third ICAO Global Aviation Cooperation Symposium (July 30, 2019 - April 8, 2020)",https://www.iaa.edu.in/news
What are the latest tenders at Indian Aviation Academy (IAA)?,"All Inclusive Comprehensive Maintenance Contract of 3 X 270 TR Central AC Plant System Installed at Indian Aviation Academy, Vasant Kunj, New Delhi (For two years 2024-26), Tender E-Bid No: GEM/2024/B/5543851, Tender Status: open, Last Sale Date: 2024-11-14. Read More on below link ",https://www.iaa.edu.in/tenders
,,
"What are the key modules covered in the e-learning course on Airside Infrastructure, and what is the standard course fee for trainees from India, Nepal, and Bhutan?","The e-learning course on Airside Infrastructure is divided into four comprehensive modules. **Part-1** covers the basics, including the objective, aerodrome reference point, runway, siting of the runway, runway designation, and types of runways. **Part-2** delves into the aerodrome reference code, runway width, shoulder, slope, threshold, touchdown zone, stopway, and clearway. In **Part-3**, topics include declared distances, runway strip, RESA (Runway End Safety Area), distance between parallel runways, runway turnpad, taxiway, taxiway slope, separation between taxiway and runway, rapid exit taxiway, and taxiway clearances. **Part-4** addresses taxiway shoulder and strip, runway holding position, apron, isolated aircraft parking position, strength of pavement, airport fire station, response time, emergency access roads, and fencing.

The standard course fee for trainees from India, Nepal, and Bhutan is **INR 1875**. For participants from other countries and SAARC nations, the fee is **USD 30**. Additional discounts are available for organizations with multiple participants and for trainees from SAARC countries.",
"What is the purpose of the introductory course on the Air Transportation System, and what are the fees for participants from India, Nepal, and Bhutan?","The purpose of this introductory course on the Air Transportation System is to provide participants who are new to aviation with a foundational understanding of the history, impact, evolution, and overall landscape of the Air Transportation System. Since it is designed for beginners, there are no prerequisites to attend the course. The standard course fee for trainees from India, Nepal, and Bhutan is INR 2000, while the fee for participants from other countries, including SAARC nations, is USD 30. Additional discounts are available for organizations enrolling multiple participants and for trainees from SAARC countries.",
"Which countries have participated in international training programs organized by the IAA, and which international agencies have supported these programs?","The International Aviation Academy (IAA) has hosted participants from various countries in its international training programs, seminars, conferences, and workshops. These countries include Bahrain, Bangladesh, China, Egypt, Eritrea, Ethiopia, Ghana, Hong Kong, Indonesia, Japan, Canada, Cambodia, Holland, Kuwait, Latvia, Malaysia, Maldives, Mauritius, Namibia, Nepal, Rwanda, Saudi Arabia, Singapore, Sri Lanka, Sweden, Switzerland, Tanzania, Thailand, South Korea, Tonga, UAE, Yemen, Zambia, Burkina Faso, Zanzibar, and Zimbabwe.

The IAA has received support from renowned international agencies such as the International Civil Aviation Organization (Montreal, Canada), International Air Transport Association, European Union, Aeroports de Paris, and the Federal Aviation Administration (USA). These partnerships have played a crucial role in the successful organization of these programs.",
Which institutions has IAA partnered with to enhance the quality of training for aviation sector executives?,"IAA has partnered with leading global institutions by signing Memorandums of Understanding (MoUs) to improve the quality of training for aviation sector executives. These institutions include Airports Council International (ACI), International Air Transport Association (IATA), and the American Association of Airport Executives (AAAE).",
"What are the key features of the auditorium at IAA, and how many people can it accommodate?","The auditorium at IAA is designed for conferences, seminars, and symposiums, featuring staggered terraced seating for clear lines of sight, wide aisles, plush carpeting, and high-quality seating for added comfort. It is equipped with a modern audio system, good acoustics, LAN connectivity, and projection facilities. The auditorium has a seating capacity of 170 people.
",
