serial_no,QUESTION,ANSWER,more_info
1,What is the fee structure for undergraduate courses?,"The fee structure for F.Y. B. Tech admissions at Vishwakarma Institute of Technology for the academic year 2024-25 varies by category. Tuition fees range from ₹0 to ₹162,608, with total fees (including other charges) from ₹5,945 to ₹192,945. Concessions apply for eligible categories. Payments must be made via Demand Draft.", https://www.vit.edu/images/News/Fees_Structure_BTech_2024-25.pdf
2,What kind of industry partnerships does the college have?,"The Department of Industrial & Production Engineering at Vishwakarma Institute of Technology partners with an Industrial Advisory Board (IAB) to bridge industry-academia gaps. The IAB facilitates industry-relevant curriculum, training, research, and entrepreneurship initiatives, enhancing education quality and meeting evolving industry needs.",
3,Are there any study abroad programs specific to engineering students?,"Yes, many VIT engineering graduates pursue further studies abroad, joining esteemed institutions like the University of Illinois Chicago, Virginia Tech, and Georgia Tech. These programs enhance global exposure, research skills, and professional development in engineering fields.",https://www.vit.edu/IT/index.php/highlights-of-departments/higher-studies
4,What computing resources and software are available to engineering students?,"Engineering students at VIT have access to a range of computing resources, including dedicated Computer Aided Design (CAD) labs and the Product Innovation Lab, equipped with industry-standard software. These resources support skills in design, modeling, and simulation essential for engineering projects and innovation.",https://www.vit.edu/Mechanical/index.php/facilities/lab-details
5,How does the college support entrepreneurship among engineering students?,"VIT Pune supports entrepreneurship among engineering students through the Entrepreneurship Development Cell (V-EDC), which fosters innovation and leadership. V-EDC provides workshops, mentorship, and networking opportunities to help students transform their ideas into successful ventures and make a global impact.",https://ecellvitpune.com/
6,What is the graduation rate for engineering programs?,,  
7,What kind of career counseling services are offered to engineering students?,"VIT Pune offers career counseling through various seminars, guest lectures, and workshops organized by the Training & Placement Office. These cover topics like interview skills, leadership development, communication skills, soft skills, personality assessments, and aptitude tests.",https://www.vit.edu/index.php/placements/workshops-and-trainings
8,What companies visit the college for placement ?,"Vishwakarma Institute of Technology (VIT) Pune hosts a variety of companies for campus placements. Each year, nearly 100 companies visit for on-campus placements, while over 50 companies arrange off-campus opportunities for students.
Types of Recruiters:

    Consistent Recruiters: Companies that visit every year.
    Regular Recruiters: Companies that visit as per demand.
    New Additions: Newly visiting recruiters.

Specific companies that frequently recruit include notable tech giants and firms across various sectors, although the exact list may vary from year to year.",https://www.vit.edu/index.php/placements/recruiting-companies
9,What kind of alumni network exists for engineering graduates?,"Vishwakarma Institute of Technology Pune has a vibrant alumni network that fosters lifelong connections among graduates. The website encourages bonding with batch-mates, staying connected with the institute, and sharing achievements. It promotes enriched interaction and networking within the VIT family.",https://www.vitpunealumni.in/
10,What is the contact info of the training and placement tpo officer,"The contact information for the Training and Placement Officer at Vishwakarma Institute of Technology is as follows:

Prof. Karthick Subramanian Balasubramanian
Head, Central Training & Placement Office
Vishwakarma Institutes

Mobile:
+91 73859 91260
+91 98224 51260

Email: tpo@vit.edu

For further details, you may visit the official VIT Pune website or the specific training and placement section.",
